# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_electrons
# 18 Ntot_electrons
# 19 Zavg_electrons
# 20 Ukin_electrons
# 21 Urad_electrons
# 22 Dens_ions
# 23 Ntot_ions
# 24 Zavg_ions
# 25 Ukin_ions
# 26 Urad_ions
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw      Dens_electrons      Ntot_electrons      Zavg_electrons      Ukin_electrons      Urad_electrons           Dens_ions           Ntot_ions           Zavg_ions           Ukin_ions           Urad_ions             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.1856551337e-03    4.1856551337e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    4.1856551337e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000001e+02    5.1200000000e+06   -1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000001e+02    5.1200000000e+06    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0830228430e-03    2.1026322907e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -9.9741449862e-03               74446    9.5107982534e-03               31761   -9.5993587264e-03               12239    1.0208061616e-02               56258    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -2.3504830268e-01               62499    2.2528563912e-01               45956    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.0000000000e+00   -5.7525815307e-02   -2.8867370192e-04    5.0181592452e-03    5.3068329471e-03    3.5597201770e-03    0.0000000000e+00    0.0000000000e+00    1.4584390682e-03    4.8553027358e-09    0.0000000000e+00    0.0000000000e+00    1.1204531927e-03    7.2947602444e-07    0.0000000000e+00    0.0000000000e+00    8.0002441277e+02    5.1457450000e+06   -1.0000000000e+00    1.7817294690e-03    0.0000000000e+00    8.0002226725e+02    5.1456400000e+06    1.0000000000e+00    1.7779907080e-03    0.0000000000e+00    7.2621073127e-04    7.3211077779e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1755915638e-07   -5.5252688331e-03               44458    5.4064837202e-03               62499   -5.9330334316e-03               54957    5.6793088685e-03               56258    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -4.3109342768e-04               80063    2.9209997255e-04               80058   -8.2982003171e-03               34906    8.6207555635e-03               45103   -8.2721180623e-03               60251    9.0417992400e-03               25371    0.0000000000e+00                 151    0.0000000000e+00                 151   -1.6880805730e-01               62499    1.5104415587e-01               15230    2.0707203962e-07    6.2887996863e-09    0.0000000000e+00    0.0000000000e+00    5.2240398482e-07   -1.1266071936e-08    0.0000000000e+00    0.0000000000e+00
    2.0000000000e+00   -6.6362422911e-02   -4.5386113603e-04    6.8391284725e-03    7.2929896085e-03    5.4569249150e-03    0.0000000000e+00    0.0000000000e+00    1.3822035575e-03    2.9452958171e-08    0.0000000000e+00    0.0000000000e+00    3.1047458915e-03    2.6180363075e-06    0.0000000000e+00    0.0000000000e+00    8.0006544482e+02    5.1708780000e+06   -1.0000000000e+00    2.7252704246e-03    0.0000000000e+00    8.0006324452e+02    5.1709320000e+06    1.0000000000e+00    2.7316544903e-03    0.0000000000e+00    6.9116140463e-04    6.9050172579e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.4042707471e-07   -5.3188953393e-03               76052    6.1187306701e-03                7062   -6.2243614964e-03                4877    6.0016758275e-03               60451    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -9.0112995668e-04               80104    3.4366534209e-04                  57   -7.0785498465e-03               74446    7.3772381072e-03               31761   -7.0759808725e-03                3878    7.3289982281e-03               56258    0.0000000000e+00                 151    0.0000000000e+00                 151   -1.0272430961e-01                8097    1.0051734676e-01               76052    5.6478049741e-07   -2.4903489459e-10    0.0000000000e+00    0.0000000000e+00    2.0532558101e-06   -1.8131116304e-08    0.0000000000e+00    0.0000000000e+00
    3.0000000000e+00   -3.1579087064e-02   -3.3088187697e-04    1.0477879753e-02    1.0808761630e-02    8.1774714102e-03    0.0000000000e+00    0.0000000000e+00    2.3004083427e-03    4.6444792024e-08    0.0000000000e+00    0.0000000000e+00    6.6189492506e-03    4.2036904168e-06    0.0000000000e+00    0.0000000000e+00    8.0014753585e+02    5.1963610000e+06   -1.0000000000e+00    4.0790870507e-03    0.0000000000e+00    8.0014126192e+02    5.1964470000e+06    1.0000000000e+00    4.0983843595e-03    0.0000000000e+00    1.1387204700e-03    1.1607250537e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    9.6281899244e-07   -7.4246721689e-03               31761    6.7875844282e-03               41070   -7.8356010637e-03               56058    6.6823771281e-03               56731    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.0919370937e-03               80104    2.6433955331e-04                 257   -5.7332864241e-03                8698    7.2773214367e-03               11153   -6.1910190071e-03                4877    5.8231775333e-03               68399    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.6244745169e-01               45956    1.4601658998e-01               58236    2.9569451266e-07   -4.1474637560e-09    0.0000000000e+00    0.0000000000e+00    3.9079959042e-06   -1.7576072978e-08    0.0000000000e+00    0.0000000000e+00
    4.0000000000e+00   -1.4474223151e-02   -2.3972324065e-04    1.6562079923e-02    1.6801803163e-02    1.4615914549e-02    0.0000000000e+00    0.0000000000e+00    1.9461653742e-03    6.0945864312e-08    0.0000000000e+00    0.0000000000e+00    1.2610881780e-02    5.3271959492e-06    0.0000000000e+00    0.0000000000e+00    8.0028833502e+02    5.2219930000e+06   -1.0000000000e+00    7.2966408635e-03    0.0000000000e+00    8.0028166591e+02    5.2221090000e+06    1.0000000000e+00    7.3192736850e-03    0.0000000000e+00    9.7342946592e-04    9.7165894416e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.0769641605e-06   -6.4817985692e-03               30573    6.4080858571e-03               48638   -6.2658523250e-03                1034    6.6460881737e-03               32188    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.1025843195e-03               80104    2.3057004550e-04                 373   -7.0923367478e-03               76052    7.5725398508e-03               70253   -8.0009740852e-03                4877    7.7437463350e-03               60451    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.5978034460e-01                1526    1.6656372481e-01                1034   -1.2473378959e-07   -3.8783472478e-09    0.0000000000e+00    0.0000000000e+00    5.4519297388e-06   -1.3007584396e-08    0.0000000000e+00    0.0000000000e+00
    5.0000000000e+00   -8.4220760874e-03   -2.2272054714e-04    2.6444850987e-02    2.6667571535e-02    2.3908340745e-02    0.0000000000e+00    0.0000000000e+00    2.5365102424e-03    7.0353974038e-08    0.0000000000e+00    0.0000000000e+00    2.2475833509e-02    6.1532455878e-06    0.0000000000e+00    0.0000000000e+00    8.0052397749e+02    5.2476080000e+06   -1.0000000000e+00    1.1943909807e-02    0.0000000000e+00    8.0051832951e+02    5.2478460000e+06    1.0000000000e+00    1.1964430938e-02    0.0000000000e+00    1.2686258964e-03    1.2667204501e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1638959191e-06   -7.6752888431e-03                7062    7.3559572539e-03               29274   -7.8382839657e-03               24714    7.4628332659e-03               13074    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -9.8530488646e-04               80102    2.3123867399e-04                 379   -5.6786367873e-03               38591    5.5744289518e-03               20530   -6.1859757736e-03               47815    5.5607586677e-03               47817    0.0000000000e+00                 151    0.0000000000e+00                 151   -1.7578282260e-01               58273    1.7054151740e-01               47434   -3.1775600067e-07   -2.3315677315e-10    0.0000000000e+00    0.0000000000e+00    6.4710015885e-06   -7.5956034068e-09    0.0000000000e+00    0.0000000000e+00
    6.0000000000e+00   -6.8303761953e-03   -2.8690756870e-04    4.2004651061e-02    4.2291558630e-02    4.0142759020e-02    0.0000000000e+00    0.0000000000e+00    1.8618920408e-03    7.6798011153e-08    0.0000000000e+00    0.0000000000e+00    3.8099299010e-02    6.6812844415e-06    0.0000000000e+00    0.0000000000e+00    8.0090161745e+02    5.2730840000e+06   -1.0000000000e+00    2.0065368242e-02    0.0000000000e+00    8.0089225416e+02    5.2732800000e+06    1.0000000000e+00    2.0077390779e-02    0.0000000000e+00    9.2546714914e-04    9.3483927625e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.5856154436e-06   -6.7410816451e-03               80059    6.1985901168e-03               53926   -6.1114673404e-03               37614    7.0508977960e-03               57129    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.0310334427e-03               80099    4.2191847039e-04                 273   -9.9628283596e-03                 359    7.2326756597e-03               69454   -7.3559961035e-03               14326    7.6430400501e-03                4878    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.5326702581e-01               32778    1.6670040725e-01               34502   -3.2185820492e-07    3.8160721420e-10    0.0000000000e+00    0.0000000000e+00    7.0031426464e-06   -3.1255080965e-09    0.0000000000e+00    0.0000000000e+00
    7.0000000000e+00   -4.9287353092e-03   -3.2558118578e-04    6.6057754242e-02    6.6383335428e-02    6.3909937139e-02    0.0000000000e+00    0.0000000000e+00    2.1478171029e-03    9.0131897455e-08    0.0000000000e+00    0.0000000000e+00    6.2191488487e-02    6.2819388820e-06    0.0000000000e+00    0.0000000000e+00    8.0148694446e+02    5.2986280000e+06   -1.0000000000e+00    3.1972738896e-02    0.0000000000e+00    8.0146793165e+02    5.2985570000e+06    1.0000000000e+00    3.1937198243e-02    0.0000000000e+00    1.0747470463e-03    1.0708618331e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.2082234211e-06   -7.5330206952e-03               20530    7.0286995728e-03               26805   -6.9279533192e-03               10994    7.3139617851e-03               47815    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -1.0372545903e-03               80098    6.9512030713e-04                 391   -1.0872180035e-02                 391    8.3902332930e-03                 479   -6.5851984279e-03               58438    6.6102990281e-03               37617    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.8184760445e-01               21460    1.5202979619e-01               60686   -8.1600771282e-07   -8.5874662859e-09    0.0000000000e+00    0.0000000000e+00    7.0979465948e-06    1.1508595627e-09    0.0000000000e+00    0.0000000000e+00
    8.0000000000e+00   -3.0092098129e-03   -3.0756663516e-04    1.0220843819e-01    1.0251600483e-01    1.0028183482e-01    0.0000000000e+00    0.0000000000e+00    1.9266033702e-03    1.0611373235e-07    0.0000000000e+00    0.0000000000e+00    9.8325322717e-02    5.1330889063e-06    0.0000000000e+00    0.0000000000e+00    8.0235600331e+02    5.3239680000e+06   -1.0000000000e+00    5.0025489063e-02    0.0000000000e+00    8.0234399189e+02    5.3241200000e+06    1.0000000000e+00    5.0256345758e-02    0.0000000000e+00    9.5836614823e-04    9.6578857782e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.4486441293e-06   -6.5954264393e-03               55044    6.4893457781e-03               66481   -6.6681925931e-03                1529    6.2982258214e-03               47592    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.0972206587e-03               80154    8.0498898962e-04                 361   -1.1811782788e-02                 362    1.6852694274e-02                 358   -6.9372245517e-03               48516    6.6527725009e-03               25473    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.5120894736e-01                 242    1.5592326302e-01               77204   -1.6485276656e-06   -7.0649152612e-09    0.0000000000e+00    0.0000000000e+00    6.7816165719e-06    5.1318767762e-09    0.0000000000e+00    0.0000000000e+00
    9.0000000000e+00   -1.6865461787e-03   -2.6177854468e-04    1.5521575868e-01    1.5547753722e-01    1.5298583576e-01    0.0000000000e+00    0.0000000000e+00    2.2299229228e-03    1.2121579031e-07    0.0000000000e+00    0.0000000000e+00    1.5128875710e-01    3.2462048723e-06    0.0000000000e+00    0.0000000000e+00    8.0363681952e+02    5.3496370000e+06   -1.0000000000e+00    7.6451860905e-02    0.0000000000e+00    8.0362475700e+02    5.3498330000e+06    1.0000000000e+00    7.6533974852e-02    0.0000000000e+00    1.1166124023e-03    1.1107655326e-03    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.5449878753e-06   -1.1860597666e-02                 305    7.1808291477e-03               37506   -7.0108382517e-03               32263    6.8110500548e-03                 540    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.1882683647e-03                 332    1.1108911099e-03                 359   -1.7477716803e-02                 331    2.0227206132e-02                 505   -6.3651376539e-03               12868    6.6225330630e-03               56255    0.0000000000e+00                   1    0.0000000000e+00                   1   -1.6327306372e-01               10412    1.6608449555e-01                 758   -2.9135033369e-06   -2.6683150643e-08    0.0000000000e+00    0.0000000000e+00    6.1597082092e-06    6.5778840482e-09    0.0000000000e+00    0.0000000000e+00
