# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_electrons
# 18 Ntot_electrons
# 19 Zavg_electrons
# 20 Ukin_electrons
# 21 Urad_electrons
# 22 Dens_ions
# 23 Ntot_ions
# 24 Zavg_ions
# 25 Ukin_ions
# 26 Urad_ions
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw      Dens_electrons      Ntot_electrons      Zavg_electrons      Ukin_electrons      Urad_electrons           Dens_ions           Ntot_ions           Zavg_ions           Ukin_ions           Urad_ions             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyYmin         PoyYminInst             PoyXmax         PoyXmaxInst             PoyYmax         PoyYmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.6724071971e-04    2.6724071971e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.6724071971e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    8.0000000000e+05   -1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.0000000000e+01    8.0000000000e+05    1.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3474665766e-04    1.3249406205e-04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   -2.3750360153e-03               26845    2.4041784319e-03               73414   -2.3255943877e-03               62523    2.2822371649e-03               62834    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.4364130760e-02               72756    6.8260717270e-02               37667    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    5.0000000000e+00   -4.7491748211e-04   -2.1225475801e-05    4.4692976360e-02    4.4714201835e-02    4.4619403599e-02    0.0000000000e+00    0.0000000000e+00    7.3572760623e-05    6.0099020334e-10    0.0000000000e+00    0.0000000000e+00    4.4446849501e-02    1.1221550611e-07    0.0000000000e+00    0.0000000000e+00    7.9998600000e+01    7.9998600000e+05   -1.0000000000e+00    1.7249181405e-04    0.0000000000e+00    8.0004805362e+01    8.0997600000e+05    1.0000000000e+00    4.4446911785e-02    0.0000000000e+00    3.6900477831e-05    3.6648722560e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.3560231729e-08   -1.2490588487e-03               70057    1.3525204971e-03               20413   -1.3655404752e-03               21929    1.3932634658e-03               37668    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151    0.0000000000e+00                 151   -9.0579466552e-06                 262    6.7366311771e-05               80054   -6.0480593725e-04                2531    6.1435298431e-04               11991   -5.4560129048e-04               50832    5.1110795115e-04               79458    0.0000000000e+00                 151    0.0000000000e+00                 151   -3.7289328199e-02               10384    4.6934101201e-02               37667    1.0948023666e-08    5.7280988522e-10    0.0000000000e+00    0.0000000000e+00    1.0126748244e-07   -2.3797058229e-09    0.0000000000e+00    0.0000000000e+00
    1.0000000000e+01   -1.8376303496e-04   -2.7450231899e-05    1.4937842045e-01    1.4940587068e-01    1.4925868165e-01    0.0000000000e+00    0.0000000000e+00    1.1973879753e-04    5.0267060495e-09    0.0000000000e+00    0.0000000000e+00    1.4913811145e-01    5.2353484290e-07    0.0000000000e+00    0.0000000000e+00    7.9996000000e+01    7.9996000000e+05   -1.0000000000e+00    1.2135906227e-04    0.0000000000e+00    8.0016124035e+01    8.1995000000e+05    1.0000000000e+00    1.4913732259e-01    0.0000000000e+00    6.0644533312e-05    5.8841450547e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.5281367236e-07   -1.6993678743e-03               62259    1.7523138882e-03               30053   -1.6646935028e-03               69526    1.6878809896e-03               40923    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.2635496389e-05                 387    1.6057751362e-04               80006   -3.6615612547e-04               58492    3.8000775248e-04               78277   -3.4037555470e-04               76661    3.5233498753e-04                 274    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.6452532142e-02               39038    2.5286122818e-02                 172    2.8461166356e-08   -3.2292617849e-10    0.0000000000e+00    0.0000000000e+00    4.9507367655e-07   -5.2831402712e-09    0.0000000000e+00    0.0000000000e+00
    1.5000000000e+01   -5.1933464882e-05   -1.9896137672e-05    3.8310822736e-01    3.8312812350e-01    3.8298607565e-01    0.0000000000e+00    0.0000000000e+00    1.2215171188e-04    5.1402552237e-09    0.0000000000e+00    0.0000000000e+00    3.8285981588e-01    1.0720412730e-06    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    1.3047437116e-04    0.0000000000e+00    8.0041392806e+01    8.3005700000e+05    1.0000000000e+00    3.8285560128e-01    0.0000000000e+00    6.1918251220e-05    5.9676871914e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    5.5658874609e-07   -1.8299890286e-03               78277    1.7592842118e-03               73156   -1.9188230539e-03               66814    1.7493386258e-03               39038    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.0791903359e-05                 261    2.1737847422e-04               80006   -5.2583314113e-04               75306    5.2777062780e-04                8682   -4.9666348980e-04               79458    5.0991792311e-04                 691    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.4539060357e-02               78077    3.3960854961e-02                 215   -1.5686436386e-08   -3.3641668516e-10    0.0000000000e+00    0.0000000000e+00    1.0877277094e-06   -6.1627887333e-09    0.0000000000e+00    0.0000000000e+00
    2.0000000000e+01   -2.0124688549e-05   -1.7147461131e-05    8.5206094441e-01    8.5207809188e-01    8.5191397335e-01    0.0000000000e+00    0.0000000000e+00    1.4697106043e-04    5.1402552237e-09    0.0000000000e+00    0.0000000000e+00    8.5180921495e-01    1.6413440563e-06    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    1.1999188848e-04    0.0000000000e+00    8.0092093169e+01    8.3992500000e+05    1.0000000000e+00    8.5179398147e-01    0.0000000000e+00    7.5219480569e-05    7.1134618997e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    6.1696086659e-07   -2.2358927972e-03                 215    1.8131754155e-03               48497   -1.9757689642e-03               46208    1.6511618559e-03               62833    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.7316044980e-05                 274    2.3302334900e-04               80007   -4.8803428818e-04                 637    5.4841306998e-04                 265   -3.9375001321e-04               79466    4.0503038820e-04               79769    0.0000000000e+00                 101    0.0000000000e+00                 101   -3.8050713357e-02               73156    4.1640684933e-02                 185   -2.8671395139e-08    4.9927518636e-11    0.0000000000e+00    0.0000000000e+00    1.6700154514e-06   -5.2724167515e-09    0.0000000000e+00    0.0000000000e+00
    2.5000000000e+01   -1.0367147902e-05   -1.8375612249e-05    1.7724848168e+00    1.7725031924e+00    1.7723421509e+00    0.0000000000e+00    0.0000000000e+00    1.4266587849e-04    5.1402552237e-09    0.0000000000e+00    0.0000000000e+00    1.7722338731e+00    2.0837491550e-06    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    1.6766267365e-04    0.0000000000e+00    8.0191604683e+01    8.5000100000e+05    1.0000000000e+00    1.7721744882e+00    0.0000000000e+00    7.9994444334e-05    6.1850350127e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    8.2108402804e-07   -4.1570118971e-03                 341    1.7394445151e-03               73613   -1.5758199139e-03               57309    1.5987991825e-03               29952    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -4.4545117328e-05                 649    2.5469089092e-04               80053   -6.0197505457e-04                 418    1.4976345955e-03                 384   -4.6253773615e-04               17110    4.7948426965e-04               36485    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.9890840481e-02               11693    6.4013432384e-02                 223   -4.6775819908e-08   -7.0508082511e-10    0.0000000000e+00    0.0000000000e+00    2.1305249749e-06   -3.9032391135e-09    0.0000000000e+00    0.0000000000e+00
    3.0000000000e+01   -4.4649479591e-06   -1.5218130241e-05    3.4083555689e+00    3.4083707871e+00    3.4081122904e+00    0.0000000000e+00    0.0000000000e+00    2.4327857121e-04    5.1690428712e-09    0.0000000000e+00    0.0000000000e+00    3.4081012665e+00    2.2850476669e-06    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    2.5902728853e-04    0.0000000000e+00    8.0368266133e+01    8.6005500000e+05    1.0000000000e+00    3.4078532631e+00    0.0000000000e+00    1.7903732226e-04    6.3015995178e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.2252537676e-06   -1.1083636834e-02                 341    1.6796215680e-03               80185   -1.6772067891e-03                 989    1.6365689711e-03               62924    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -9.6192440969e-05                 472    3.0288282852e-04               80071   -1.4217730450e-03                 712    2.8601919727e-03                 362   -4.7507097833e-04               79463    4.0287885195e-04               25058    0.0000000000e+00                   1    0.0000000000e+00                   1   -5.1536396322e-02                 773    1.2922182110e-01                 231   -1.5828555161e-07   -2.5032638818e-09    0.0000000000e+00    0.0000000000e+00    2.4433332185e-06   -2.3461911074e-09    0.0000000000e+00    0.0000000000e+00
    3.5000000000e+01    1.3200882593e-06    8.1271846284e-06    6.1565464062e+00    6.1565382790e+00    6.1557386070e+00    0.0000000000e+00    0.0000000000e+00    8.0779912290e-04    5.4465299397e-09    0.0000000000e+00    0.0000000000e+00    6.1562691087e+00    1.9350534923e-06    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    4.6667823861e-04    0.0000000000e+00    8.0664883706e+01    8.7015800000e+05    1.0000000000e+00    6.1552719288e+00    0.0000000000e+00    7.4933149151e-04    5.7083720636e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3839107480e-06   -2.3959190453e-02                 344    1.7938424237e-03                 853   -1.8723254486e-03               47070    1.8381190204e-03                 853    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -1.4982981157e-04                 399    3.1804379228e-04               80071   -2.4997964443e-03                 807    4.8270059939e-03                 526   -4.9342652788e-04               19507    5.3888756192e-04                1267    0.0000000000e+00                 101    0.0000000000e+00                 101   -6.8631718366e-02                 853    1.5814375570e-01                 306   -6.6063839955e-07   -8.1859941645e-09    0.0000000000e+00    0.0000000000e+00    2.5956918918e-06   -6.9289847039e-10    0.0000000000e+00    0.0000000000e+00
    4.0000000000e+01    7.8703993729e-06    8.2333497833e-05    1.0461158822e+01    1.0461076489e+01    1.0457739996e+01    0.0000000000e+00    0.0000000000e+00    3.4188258859e-03    7.3699432428e-09    0.0000000000e+00    0.0000000000e+00    1.0460808528e+01    7.2766547406e-07    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    7.9726107011e-04    0.0000000000e+00    8.1129868056e+01    8.8034400000e+05    1.0000000000e+00    1.0456942735e+01    0.0000000000e+00    3.3525446323e-03    6.5083835051e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.1974185603e-06   -4.2889925243e-02                 378    1.7357591721e-03               66552   -2.9449659272e-03                1467    2.2941482782e-03                1095    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1    0.0000000000e+00                   1   -3.0035338264e-04                 867    3.0342198503e-04               80072   -2.9833971032e-03                1133    7.4712272870e-03                 634   -6.4669615683e-04                1289    6.6902056185e-04                1367    0.0000000000e+00                   1    0.0000000000e+00                   1   -6.1433134979e-02                1017    1.8681192547e-01                 209   -1.8558403616e-06   -1.2964360244e-08    0.0000000000e+00    0.0000000000e+00    2.5835058356e-06    8.9759758636e-10    0.0000000000e+00    0.0000000000e+00
    4.5000000000e+01    1.6640419747e-05    2.7661979128e-04    1.6623366206e+01    1.6623089586e+01    1.6610928424e+01    0.0000000000e+00    0.0000000000e+00    1.2437781571e-02    2.6415247473e-08    0.0000000000e+00    0.0000000000e+00    1.6622824079e+01   -1.7069051329e-06    0.0000000000e+00    0.0000000000e+00    7.9995800000e+01    7.9995800000e+05   -1.0000000000e+00    1.3676050149e-03    0.0000000000e+00    8.1794973037e+01    8.9038100000e+05    1.0000000000e+00    1.6609560819e+01    0.0000000000e+00    1.2369674343e-02    6.6792546881e-05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.3146812933e-06   -7.2183054801e-02                 360    2.0287583584e-03                1450   -2.9851732838e-03                  99    3.2268522126e-03                  65    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101    0.0000000000e+00                 101   -3.8834021233e-04                1867    3.3429457769e-04                1242   -4.0191141613e-03                1583    1.0755264665e-02                 597   -1.1144478239e-03                1467    7.4521665181e-04                1243    0.0000000000e+00                 101    0.0000000000e+00                 101   -6.5146389876e-02                1583    2.1216782029e-01                 229   -4.1351569906e-06   -2.9160047882e-08    0.0000000000e+00    0.0000000000e+00    2.4282518577e-06    2.2932542094e-09    0.0000000000e+00    0.0000000000e+00
